,Credits,Departments,Description,Number,Title,Unique_ID
532,3 Credit Hours.,anth,"Prerequisite: graduate standing. Survey of the methods used by biological and medical anthropologists to investigate the health and biology of living populations. Focuses on the ethics of research involving human subjects, strategies for establishing collaborative relationships with communities, and strategies for collecting, managing, and analyzing qualitative and quantitative data. (Irreg.)",6643,Methods in Living Populations Research,anth-6643
580,6 Credit Hours.,arch,"Prerequisite:ARCH 2463,ARCH 2456,ARCH 2343, andARCH 4193with a grade of C or better. Co-requisites:ARCH 4563,ARCH 4233,ARCH 4453; or permission of director. Introduces principles and techniques of site design within a building context of place, order, form, and structure. It also introduces climatic data analysis software as a means for teaching evidence based design and sustainable design principles. Studio-based lectures and assignments will challenge students to analyze, adapt to, and transform the site within a building design context. (F)",3556,Design V - Architectural Making I,arch-3556
606,3 Credit Hours.,arch,"(Slashlisted withARCH 5773) Prerequisite: senior standing or permission of instructor. Computational design allows architects to explore tectonics and space in relationship to various data sets such as environmental, programmatic, and material. Computational design is a design strategy where architects incorporate ideas from fields such as mathematics, computer science, system science, morphogenesis and evolution. The class will examine the work flow from computational design through to digital fabrication. Students may not earn credit for both 4773 and 5773. (F)",4773,Computational Design and Fabrication,arch-4773
644,3 Credit Hours.,arch,"(Slashlisted withARCH 4773) Prerequisite: Graduate standing or instructor permission. Computational design allows architects to explore tectonics and space in relationship to various data sets such as environmental, programmatic, and material. Computational design is a design strategy where architects incorporate ideas from fields such as mathematics, computer science, system science, morphogenesis and evolution. The class will examine the work flow from computational design through to digital fabrication. No student may earn credit for both 4773 and 5773. (F)",5773,Computational Design and Fabrication,arch-5773
715,3 Credit Hours.,art,"Prerequisite: Majors only;ATC 2823. Consideration of conceptual and aesthetic issues within technological systems, which may include interactive media, immersive virtual environments, experimental games, visualization & simulation, and 3-D object development. Exposure to a variety of possible technical processes as they consider visual strategies regarding the constraints of visual spaces. Topics may include, but are not limited to 3-D modeling, real-time processing, database/interactive narrative, game play, and strategies for designing objects and environments. A personal laptop is required. (Irreg.)",3823,Concepts in Electronic Media,art-3823
952,3 Credit Hours.,astr,Prerequisite: 3113 or 4303 or permission of instructor. Basic properties of stars. Review of observational tools for extragalactic work. Stellar content and interstellar medium in normal galaxies. Introduction to the theory of Big Bang cosmology. Comparison of observational data to cosmological predictions. The extragalactic distance scale and the age of the universe. Large scale structure: galaxy clusters and superclusters. Active galaxies -- radio galaxies and quasars. (Irreg.),5453,Extragalactic Astronomy and Cosmology,astr-5453
992,3 Credit Hours.,avia,"Prerequisite: junior standing. Students will be introduced to the fundamental methods and techniques employed by the aviation/aerospace industry when researching and analyzing operational issues. Case studies will concentrate on procedures of data acquisition and analysis where research leading to problem solutions is commonplace. Students will be able to use specialized research methods to collect data, analyze it, and then draw logical conclusions. Knowledge, skills, and abilities learned in this course will prepare students for Senior Capstone (F).",3923,Aerospace Operational Research,avia-3923
1048,2 Credit Hours.,b_ad,"Prerequisite:B AD 5001and graduate standing. Introduces students to the basic tools in building models and using data to make informed management decisions. Covers introductory probability, decision analysis, basic statistics, hypothesis testing, correlation, regression, simulation, linear and nonlinear optimization, and discrete optimization. Computer spreadsheet exercises, cases, and examples drawn from marketing, finance, operations management, and other management functions. Requires extensive use of spreadsheet statistical analysis software. (Irreg.)",5122,Quantitative Methods and Modeling II,b_ad-5122
1115,3 Credit Hours.,biol,"Prerequisite: 1114 and 1121, or 1124, or Biology 1134, Mathematics 1523 or 1643 or higher, or permission of instructor. The connections between basic mathematics and how biological data are organized, tested, and interpreted. Includes review of probability theory, introduction to parametric and non-parametric biostatistics, fundamentals of experimental design, and sketches of how optimality theory can be used to generate biological questions. (Sp even-numbered years)",2913,Intro to Quantitative Biology,biol-2913
1121,2 Credit Hours.,biol,"(Crosslisted with PSY 3092) Prerequisite: junior standing; concurrent or previous enrollment in 3083. Laboratory and field studies on the adaptive nature of animal behavior, illustrating basic principles of experimental design, data analysis, and scientific writing. Laboratory (F)",3092,Animal Behavior Laboratory,biol-3092
1122,1 Credit Hour.,biol,"Prerequisite:BIOL 3103or concurrent enrollment. Provides students with an introduction to methods and procedures used in physiological research. Topics include data acquisition, analysis and basic statistics, effects of temperature on living systems, nervous system functions, muscle mechanics and physiology, and studies of metabolic rates. In addition to hands-on lab experience, library projects and research papers are used to introduce students to methods of scientific communication. (Sp)",3101,Principles of Physiology Lab,biol-3101
1144,3 Credit Hours.,biol,"Prerequisite: ZOO/BIOL 1124, or ZOO/BIOL 1114and ZOO/BIOL 1121; and Biology 1134. Lecture will explore the use of insects in the science of forensic entomology and its impact on death scene investigation, neglect or abuse; contamination of food products and other marketable goods and subsequent litigation. Lab will be centered on a ""death scene investigation"" in which students will collect data from a pig carcass to determine factors that affect the rate of decomposition. Laboratory (May Intersession)",4053,Forensic Entomology,biol-4053
1145,3 Credit Hours.,biol,"(Slashlisted withBIOL 5063) Prerequisite: two college science courses that include a laboratory, one of which should be in biological sciences or permission of UOBS Director. Overview of methods, techniques, and standards for the collection, management, and analysis of herpetological field data for various applications. Includes collection of amphibians and reptiles, and diagnostic (morphological, ecological, and behavioral) characteristics of species. Students design and complete individual projects that address current issues in biology and conservation in herpetology. No student may earn credit for both 4063 and 5063. Laboratory. (Su)",4063,Field Herpetology,biol-4063
1155,3 Credit Hours.,biol,"(Slashlisted with 5353) Prerequisite: 1114 and 1121, or 1124 and permission of instructor; 3333 or 3403 recommended. Selected protocols and data interpretation using molecular techniques to study protein and DNA variation in natural populations and the application of molecular techniques to research problems in ecology, systematics, animal behavior, conservation biology, and related areas. Graduate students enrolled in 5353 will have additional project expectations and written work. Taught at the OU Biological Station. No student may earn credit for both 4353 and 5353. Field trips. Laboratory (Su)",4353,Molecular Tech-Field Biology,biol-4353
1169,3 Credit Hours.,biol,"(Slashlisted withBIOL 5753) Prerequisite:BIOL 2013orBIOL 3333or permission of instructor. Theory and practice of inferring evolutionary history from molecular and morphological data. Applications of the phylogenetic approach in systematics, comparative biology, molecular evolution, and genomics will be covered. No student may earn credit for both 4753 and 5753. (F even-numbered years)",4753,Molecular Evolution and Phylogenetics,biol-4753
1173,3 Credit Hours.,biol,"(Slashlisted withBIOL 5863) Prerequisite:BIOL 3103, orBIOL 3113, orBIOL 3833, orBIOL 4833, orBIOL 5833, or permission of instructor. Introduction to neural control of movement through reading and discussion of key original research articles from the 19th century to the present. Students lead discussions and write essays addressing a general question, utilizing data from the articles; students in 5863 write an additional essay. Topics include localization of function, sensory vs. central contributions, roles of single neurons, effects of neuromodulators, and motor learning. No student may earn credit for both 4863 and 5863. (Sp)",4863,Neural Control of Movement,biol-4863
1176,3 Credit Hours.,biol,"Prerequisite:BIOL 1124, orBIOL 1114andBIOL 1121; andBIOL 1134; Permission of instructor required. Techniques for complex data analysis and experimental design. (F)",4913,Quantitative Biology,biol-4913
1177,3 Credit Hours.,biol,"(Slashlisted withBIOL 5933) Prerequisite: permission of instructor. Introduce students to the foundational concepts and skills necessary to use Matlab programs for life science research. Topics include acquisition and processing of time-series and spatial data, experimental control, and visual display of data. No student may earn credit for 4933 and 5933. (Sp odd-numbered years)",4933,Introduction to Matlab Programming for Life Sciences,biol-4933
1178,3 Credit Hours.,biol,"(Slashlisted withBIOL 5943) Prerequisite:BIOL 4913or permission of instructor. An introduction to the concepts and underpinnings of multivariate statistics used commonly in the life sciences. It includes sections on regression, central tendency, data reduction, cluster analyses, and ordination and treats both parametric and non-parametric approaches. No student may earn credit for both 4943 and 5943. (Sp)",4943,Multivariate Analysis,biol-4943
1187,3 Credit Hours.,biol,"(Slashlisted withBIOL 4063) Prerequisite: graduate standing and two college science courses that include a laboratory, one of which should be in biological sciences or permission of UOBS Director. Overview of methods, techniques, and standards for the collection, management, and analysis of herpetological field data for various applications. Includes collection of amphibians and reptiles, and diagnostic (morphological, ecological, and behavioral) characteristics of species. Students design and complete individual projects that address current issues in biology and conservation in herpetology. No student may earn credit for both 4063 and 5063. Laboratory. (Su)",5063,Field Herpetology,biol-5063
1196,3 Credit Hours.,biol,"(Slashlisted with 4353) Prerequisite: permission of instructor. Selected protocols and data interpretation using molecular techniques to study protein and DNA variation in natural populations and the application of molecular techniques to research problems in ecology, systematics, animal behavior, conservation biology, and related areas. Graduate students enrolled in 5353 will have additional project expectations and written work. Taught at the OU Biological Station. No student may earn credit for both 4353 and 5353. Field trips. Laboratory (Su)",5353,Molecular Tech-Field Biology,biol-5353
1206,2 Credit Hours.,biol,"Prerequisite: graduate standing and permission of instructor. Laboratory-based course designed to develop skills commonly used in molecular population genetics, ecology and systematics. Emphasis will be on DNA-based methods such as PCR, DNA sequencing, and microsatellite DNA procedures. Theoretical, physical and biochemical bases of methods will be stressed. Appropriate applications of methods and basic data analysis will also be covered. Laboratory (F - even years)",5462,Molecular Methods in Ecology and Evolution,biol-5462
1212,3 Credit Hours.,biol,"(Slashlisted withBIOL 4753) Prerequisite:BIOL 2013orBIOL 3333or permission of instructor and graduate standing. Theory and practice of inferring evolutionary history from molecular and morphological data. Applications of the phylogenetic approach in systematics, comparative biology, molecular evolution, and genomics will be covered. No student may earn credit for both 4753 and 5753. (F - even-numbered years)",5753,Molecular Evolution and Phylogenetics,biol-5753
1216,3 Credit Hours.,biol,"(Slashlisted withBIOL 4863) Prerequisite: ZOO/BIOL 3103or ZOO/BIOL 3113or ZOO/BIOL 4833/5833 or permission of instructor. Introduction to neural control of movement through reading and discussion of key original research articles from the 19th century to the present. Students lead discussions and write essays addressing a general question, utilizing data from the articles; students in 5863 write an additional essay. Topics include localization of function, sensory vs. central contributions, roles of single neurons, effects of neuromodulators, and motor learning. No student may earn credit for both 4853 and 5863. (Sp)",5863,Neural Control of Movement,biol-5863
1219,3 Credit Hours.,biol,"Prerequisite: graduate standing or permission of instructor. R is a data analysis and graphics platform that has become increasingly popular in the sciences because of its power and versatility.  This course provides an introduction to programming using R for applications in the biological sciences, with an emphasis on implementation. (F)",5923,Programming in R for Biology,biol-5923
1220,3 Credit Hours.,biol,"(Slashlisted withBIOL 4933) Prerequisite: graduate standing or permission of instructor. Introduces the foundational concepts and skills necessary to use Matlab programs for life science research. Topics include acquisition and processing of time-series and spatial data, experimental control, and visual display of data. No student may earn credit for both 4933 and 5933. (Sp odd-numbered years)",5933,Introduction to Matlab Programming for Life Sciences,biol-5933
1221,3 Credit Hours.,biol,"(Slashlisted withBIOL 4943) Prerequisite:BIOL 4913or permission of instructor. Introduces the concepts and underpinnings of multivariate statistics used commonly in the life sciences. The following topics will be included: regression, central tendency, data reduction, cluster analyses, and ordination and treats both parametric and non-parametric approaches. No student may earn credit for both 4943 and 5943. (Sp)",5943,Multivariate Analysis,biol-5943
1250,2 Credit Hours.,bme,"Prerequisite:C S 1213,MATH 3113andBME 2333; majors only. Introduces principles and techniques of numerical analysis of biomedical engineering problems. Covers numerical methods of integration, differentiation, interpolation, curve fitting, data analysis, sampling and estimation, error analysis, analysis of ordinary differential equations, numerical modeling of biomedical engineering systems, symbolic computation, and scientific visualization. (F)",3722,Numerical Methods in Biomedical Engineering,bme-3722
1274,3 Credit Hours.,bme,"(Crosslisted withECE 6213) Prerequisite:ECE 5213and ECE 5353. Application of Fourier transforms, linear systems, and diffraction theory to the analysis of optical systems. Emphasis is on the use of optical systems for information processing, including image enhancement, pattern recognition, data processing, optical switching, and computing. (F)",6213,Optical Information Processing,bme-6213
1279,3 Credit Hours.,c_s,"Prerequisite: Mathematics 1503 or concurrent enrollment. Introduction to the design and implementation of computer programs in the language Python. We will cover data types, control flow, iterations, functions, and the use of external libraries for text processing, graphics, image manipulation, web programming and others. Emphasis on problem solving with examples drawn from diverse disciplines. (F, Sp)",1213,Programming for Non-Majors with Python,c_s-1213
1280,3 Credit Hours.,c_s,"Prerequisite: Math 1503 College Algebra. Introduction to computational thinking for students without a computer science background. Topics include using computing tools creatively, the role of abstraction, using data to gain insight, developing and expressing algorithms, programming and the impact of computing. (F, Sp) [I-O].",1303,The Power and Elegance of Computational Thinking,c_s-1303
1285,4 Credit Hours.,c_s,"Prerequisite:C S 1323or1321or1324, andMATH 1523or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",2334,Programming Structures and Abstractions,c_s-2334
1286,3 Credit Hours.,c_s,"Prerequisite:C S 2334andMATH 1823or1914; andC S 2813orMATH 2513, or concurrent enrollment inC S 2813orMATH 2513. Representation, analysis and implementation of data structures and associated algorithms including: algorithm complexity, sorting algorithms, lists, stacks, queues, search trees (AVL, Red-Black, Splay, 2-3), Heaps, Graphs, and Hashing. Written communications required in some projects. Ethical issues and tools and techniques used in writing secure applications will also be discussed. The primary programming language is C++ with a debugging tool. (F, Sp)",2413,Data Structures,c_s-2413
1301,5 Credit Hours.,c_s,"Prerequisite: permission of graduate liaison. This course has three parts: discrete mathematics, object-oriented programming in C++, and data structures in C++. As part of the discrete mathematics students will be introduced to combinatorics, logic, relations, functions, computational complexity, automata, and graph theory. Students will be introduced to the fundamentals of object-oriented programming and learn to design, build, and analyze data structures using object-oriented principles and techniques. Credit hours earned for this course cannot be used to fulfill degree requirements for the M.S. or Ph.D. programs in computer science. (Irreg.)",4005,Computing Structures,c_s-4005
1307,3 Credit Hours.,c_s,"(Slashlisted with 5133)  Prerequisite: 3113 or permission of instructor. Comprehensive treatment of data networking principles including: layered protocol design and their functions, tools for performance analysis, multi-access communication, routing and flow control. No student may earn credit for both 4133 and 5133. (F)",4133,Data Networks,c_s-4133
1310,3 Credit Hours.,c_s,"Prerequisite:C S 3053andC S 4263and CS major or CS minor. Methods and tools for software development, testing, and delivery. Emphasis on data abstraction and reusable components. Students working in teams implement a significant software product, including design documents, user's guide, and process reports, using methods and processes studied in Software Engineering I. Students will practice oral and written communication skills. Study of professional social issues and responsibilities. No student may obtain credit for CS 4273 and CS 5213. (Sp) [V].",4273,Software Engineering II,c_s-4273
1317,3 Credit Hours.,c_s,"(Crosslisted withDSA 4513) Prerequisites:C S 2413andC S 2813; orMATH 2513; orC S 5005. The design and implementation of a DBMS including data models, query languages, entity-relationship diagrams, functional dependencies, normalization, storage structures, access methods, query processing, security and transaction management, and applications. The impact of databases on individuals, organizations, and society, and legal and professional responsibilities including security and privacy will be discussed. A commercial DBMS is used. Students practice written communication skills. (F)",4513,Database Management Systems,c_s-4513
1323,1-3 Credit Hours.,c_s,0 to 3 hours. May be repeated with change of subject matter; maximum credit three hours. A special type of seminar necessitated by the rapidly changing nature of modern data processing information science and computing sciences. (Irreg.),4970,Undergraduate Seminar,c_s-4970
1326,5 Credit Hours.,c_s,"(Crosslisted withDSA 5005) Prerequisite: CS 2334,MATH 1914orMATH 1823or with permission of graduate liaison. This course has three parts: discrete mathematics, object-oriented programming in C++, and data structures in C++. As part of the discrete mathematics students will be introduced to combinatorics, logic, relations, functions, computational complexity, automata, and graph theory. Students will be introduced to the fundamentals of object-oriented programming and learn to design, build, and analyze data structures using object-oriented principles and techniques. Credit hours earned for this course cannot be used to fulfill degree requirements for the B.S., M.S. or Ph.D. programs in computer science. (Irreg.)",5005,Computing Structures,c_s-5005
1333,3 Credit Hours.,c_s,"Prerequisite: graduate standing,C S 4033orC S 5033or permission of instructor. An application oriented course that gives students the tools to develop and apply appropriate data mining and knowledge discovery techniques to real world problems. (Irreg.)",5083,Knowledge Discovery and Data Mining,c_s-5083
1334,3 Credit Hours.,c_s,"Prerequisite: permission of instructor. Exploration and analysis of complex information through visual interactive computational tools and techniques. Topics include analytic reasoning, sense-making, knowledge dissemination, data representation and transformation, visual abstraction, coordinated interaction, visual query languages, spatiotemporal visualization, and applications of visual analysis. (Sp)",5093,Visual Analytics,c_s-5093
1336,3 Credit Hours.,c_s,"(Slashlisted with 4133) Prerequisite: 3113 or 5004 or permission of instructor. Comprehensive treatment of data networking principles including: layered protocol designs and their functions, tools for performance analysis, multi-access communication, routing and flow control. No student may earn credit for both 4133 and 5133. (F)",5133,Data Networks,c_s-5133
1341,3 Credit Hours.,c_s,"Prerequisite:C S 2413orC S 5005; CS 2813 orMATH 2513; andMATH 4743orMATH 4753orISE 3293orISE 5013. The course covers the design and implementation of algorithms to extract useful knowledge from text to support decision making, including methods to obtain data sets, understanding data formats, detecting duplicates, cleaning data sets, tagging, indexing, search, evaluating algorithms, classification, clustering, topic modeling, and entity resolution. (Sp)",5293,Text Analytics,c_s-5293
1348,3 Credit Hours.,c_s,"Prerequisite: 4513. An advanced course dealing with both current database applied research subjects and theoretical aspects of relational databases. Selected topics such as distributed databases, object-oriented databases, real-time databases, and multimedia databases will be discussed. (Sp)",5513,Advanced Database Management,c_s-5513
1349,3 Credit Hours.,c_s,"Prerequisite: graduate standing and permission from the instructor or department. Covers the process, concepts and techniques in data mining, including advanced techniques that deal with Big Data. It provides students with the necessary background to conduct data mining tasks for real world problems. The topics covered include understanding and preprocessing data, classification, association analysis, cluster analysis, anomaly detection, and Big Data mining. (F)",5593,Data Mining,c_s-5593
1398,3 Credit Hours.,cees,"Prerequisite:CHEM 1415,MATH 2423orMATH 2924. Introduction to environmental mass balance and fate processes. Studies of mass and energy transfer, introductory environmental chemistry, water quality parameters, mathematics of growth, statistics and data analysis, introduction to environmental laws and regulations. (F)",2313,Water Quality Fundamentals,cees-2313
1423,3 Credit Hours.,cees,"Prerequisite:MATH 2423or2924andPHYS 2524or2424. Designed to help students understand the fundamentals of probability, statistics, reliability, and risk methods in support of decision making for future engineers and scientists. Fundamental concepts in probability and statistics will be reviewed and used. Engineering decisions are often based on data that contain uncertainty; future scientists and engineers should understand how uncertainty affects calculated quantities, accuracy, precision, and reliability. (Sp)",4253,Statistics and Probability,cees-4253
1530,2 Credit Hours.,ch_e,"Prerequisite:CH E 3432andCH E 4253or concurrent enrollment inCH E 4253. Experimental techniques for the acquisition of pilot plant data, using unit operations equipment and reactors for use in process design. Results are presented in written reports and oral presentations. Laboratory. (F)",4262,Chemical Engineering Design Laboratory,ch_e-4262
1533,3 Credit Hours.,ch_e,"Prerequisite: 3473, 3723, Mathematics 3113. Fundamentals of rates, homogeneous isothermal reactions, non-isothermal reactions, reactors and design, heterogeneous reactions, fixed and fluidized bed reactors, experimental data reduction, non-ideal flow reaction systems. (Sp)",4473,Kinetics,ch_e-4473
1634,1-2 Credit Hours.,chem,"1 to 2 hours. Prerequisite: Graduate standing in the Department of Chemistry and Biochemistry andCHEM 5400, or permission of instructor. May be repeated with change of content; maximum credit 4 hours. Study and training in practical methods relevant to organic chemistry. Topics may include: use of modern instrumental methods for organic structural determination; acquisition and interpretation of spectral data for structural determination; optimization of measurement techniques; specialized preparative laboratory methods; specialized methods for separation and analysis of organic compounds. (F, Sp)",5480,Practicum in Organic Chemistry,chem-5480
1638,1-3 Credit Hours.,chem,"1 to 3 hours. Prerequisite: graduate standing in the Department of Chemistry and Biochemistry or permission of instructor. May be repeated with change of content; maximum credit 6 hours. Empirical treatment of reaction rate data, collision and transition state theories of homogeneous and heterogeneous reactions, mechanisms of chemical reactions. (F, Sp)",5520,Topics in Physical Chemistry Kinetics,chem-5520
1645,1-3 Credit Hours.,chem,"1 to 3 hours. Prerequisite: Graduate standing in the Department of Chemistry and Biochemistry andCHEM 5210, or permission of instructor. May be repeated with change of content; maximum credit 4 hours. Principles of diffraction, symmetry, reciprocal space, data collection, data reduction and absorption corrections; methods for structure solution and refinement; and interpretation of data and limitations thereof. (F, Sp)",5730,Macromolecular Crystallography,chem-5730
1649,1-2 Credit Hours.,chem,"1 to 2 hours. Prerequisite: Graduate standing in the Department of Chemistry and Biochemistry andCHEM 5730orCHEM 5740, or permission of instructor. May be repeated; maximum credit four hours. The X-ray practicum (withCHEM 5730as prerequisite) will include hands-on crystallization, advanced checkout and operation of X-ray diffractometers, data collection using research samples, structure solution and refinement, and evaluation of crystal structure quality. The NMR practicum (withCHEM 5740as prerequisite) will include hands-on sample preparation of a biological macromolecule on a research sample, advanced checkout and operation of NMR spectrometers, structure determination and dynamics, and evaluation of structure quality. (F, Sp)",5780,Practicum in Structural Biology,chem-5780
1753,2 Credit Hours.,cns,"Prerequisite:CNS 2813, CNS 2713. Corequisite:CNS 3812,CNS 3612. Students will learn about the basic foundations of the estimating process. These include quantity surveying, organization of the estimate, quantitative elements of both direct and indirect costs, using cost database, bid preparation, and the ability to visualize the project. Students will learn to create cost estimates using manual take-offs and estimating software. (F)",3512,Cost Estimating,cns-3512
1766,3 Credit Hours.,cns,"Prerequisite: permission of instructor. This course will make the students sufficiently knowledgeable about the basics of common research methods, processes, and products. Topics from defining a research problem, collecting relevant data, selecting research framework and methodology, and analyzing results will be covered. Issues related to conducting a research, such as validation, ethics, survey and sampling, hypothesis, assumption, writing style, computer applications will be discussed. (Sp)",4023,Research Methods in PDC,cns-4023
1847,3 Credit Hours.,comm,"Prerequisite:COMM 1113orP SC 1113and junior standing or permission of instructor. Examines the concept and measurement of public opinion. Students learn critical and analytical tools for evaluating the current role of public opinion in democratic societies. Topics include how to measure public opinion, interpreting polling data, social and psychological aspects of public opinion, impacts of media and interpersonal communication on public opinion, and public opinion as group behavior. (Irreg.)",4423,Communication and Public Opinion,comm-4423
1859,3 Credit Hours.,comm,"Prerequisite: graduate standing. Introduction to various qualitative methodological strategies used in the social sciences for students not pursuing a Ph.D. Examines the relationship of method and theory and the process of collecting, coding, and analyzing data. (F, Sp, Su)",5053,Introduction to Qualitative Research Methods,comm-5053
2159,3 Credit Hours.,dsa,"(Crosslisted withC S 4513) Prerequisites:C S 2413andC S 2813; orMATH 2513; orDSA 5005; and departmental permission. The design and implementation of a DBMS including data models, query languages, entity-relationship diagrams, functional dependencies, normalization, storage structures, access methods, query processing, security and transaction management, and applications. The impact of databases on individuals, organizations, and society, and legal and professional responsibilities including security and privacy will be discussed. A commercial DBMS is used. Students practice written communication skills. (F)",4513,Database Management Systems,dsa-4513
2160,1 Credit Hour.,dsa,"Prerequisites: Departmental permission; graduate standing. This course covers the application of data analytics to the media environment. Students will learn the application and usage of data analytics in media and its effectiveness; and how data analytics provides research tools to collect audiences' opinion on political, social, public issues, and consumers' responses to the brand. (Irreg)",5001,Data Analytics and Media,dsa-5001
2161,5 Credit Hours.,dsa,"(Crosslisted withC S 5005) Prerequisite: CS 2334,MATH 1914orMATH 1823or with permission of graduate liaison. This course has three parts: discrete mathematics, object-oriented programming in C++, and data structures in C++. As part of the discrete mathematics students will be introduced to combinatorics, logic, relations, functions, computational complexity, automata, and graph theory. Students will be introduced to the fundamentals of object-oriented programming and learn to design, build, and analyze data structures using object-oriented principles and techniques. Credit hours earned for this course cannot be used to fulfill degree requirements for the B.S., M.S. or Ph.D. programs in computer science. (Irreg.)",5005,Computing Structures,dsa-5005
2162,1 Credit Hour.,dsa,"Prerequisites: departmental permission; graduate standing. R is a free open source statistical programming language used by professionals in every field and industry. This introductory course aims to provide students with the fundamentals of R and R Studio. Instead of passively watching videos, students will apply R to solve real data problems while receiving instant and personalized feedback that guides them to the correct solution. (Irreg.)",5011,Introduction to R,dsa-5011
