Unique_ID,Department,Number,Title,Credits,Description
a_hi-4123,a_hi,4123,Minoan Art and Architecture,3 Credit Hours.,(Slashlisted with 5123) Prerequisite: junior standing. Examination and interpretation of Minoan palatial architecture and related art production on the island of Crete. No student may earn credit for both 4123 and 5123. (Sp-alternate)
a_hi-4143,a_hi,4143,Mycenaean Art and Architecture,3 Credit Hours.,(Slashlisted with 5143) Prerequisite: junior standing. Art of mainland Greece with particular attention to Mycenaean settlements and funeral practices. No student may earn credit for both 4143 and 5143. (Sp-alternate)
a_hi-4163,a_hi,4163,Etruscan Art,3 Credit Hours.,"(Slashlisted with 5163) Prerequisite: junior standing or permission of instructor. Examine and interpret selected works of Etruscan art in reference to the possible influences from the social, political, economic, literary, and religious ""climate"" of the time. No student may earn credit for both 4163 and 5163. (F) [IV-WC]
."
a_hi-4233,a_hi,4233,Medieval Art I: Early Christian to c,3 Credit Hours.,"(Slashlisted with 5233) Prerequisite: junior standing. A study of Western art and architecture from the early Christian period (fourth century) through the Early Romanesque period (about 1100). Studies of Byzantine, Migratory, Insular, Hispano-Islamic, Carolingian and Ottonian art included. No student may earn credit for both 4233 and 5233. (Alt. F) [IV-WC]."
a_hi-4273,a_hi,4273,Byzantine Icons,3 Credit Hours.,"(Slashlisted with 5273) Prerequisite: junior standing. Byzantine images occupy a principal position at the heart of the Eastern Church and they are an organic part of daily services. The icon represents a vision of the invisible, and therefore a vision founded on divine knowledge which transforms the created work into the miracle working image. This Class will examine the challenging process of producing holiness and divinity through painting panels. No student may earn credit for both 4273 and 5273. (Irreg.) [IV-AF]."
a_hi-4343,a_hi,4343,Italian Decorative Complexes,3 Credit Hours.,"Prerequisite: junior standing or permission of instructor. Designed for art history and non-art history majors studying abroad in Italy. Explores the history of sculpture, architecture and painting produced in Italy with particular emphasis on the renaissance in Tuscany between c. 1250 to 1534. No student may earn credit for both 4343 and 5343. (Irreg.) [IV-WC]."
a_hi-4353,a_hi,4353,Northern Renaissance Art,3 Credit Hours.,"Prerequisite: junior standing. Painting, sculpture and architecture in Northern Europe from 1400-1600. The course will emphasize painting in Flanders, Germany and the Netherlands. (Alt. F) [IV-WC]."
a_hi-4373,a_hi,4373,The Italian City: Renaissance and Baroque Architecture,3 Credit Hours.,"(Slashlisted with 5373) Prerequisite: junior standing. Architecture and urban planning of Italy from about 1300-1700. Emphasis on the growth of the city and how new forms of social interaction affected the development of architecture and the urban setting. No student may earn credit for both 4373 and 5373. (Alt. F) [IV-WC] 
."
a_hi-4383,a_hi,4383,Italian Renaissance Art and Science,3 Credit Hours.,"Prerequisite: junior standing. Focuses on the confluence of science and art in Renaissance Italy through a study of materials, process, technique and structural issues addressed by artists in the creation of painting, sculpture, and architectures. (Su) [IV-WC]."
a_hi-4463,a_hi,4463,Issues in Northern Baroque Art,3 Credit Hours.,"(Slashlisted withA HI 5463) Prerequisite: junior standing. Focuses on Northern Baroque art as case-study for examination of a variety of art historical methodologies and problems such as attribution, function, and meaning. No student may earn credit for both 4463 and 5463. (Irreg.)"
a_hi-4503,a_hi,4503,Art of the 18th Century: The Age of Enlightenment,3 Credit Hours.,"(Slashlisted with 5503) Prerequisite: junior standing. Emphasizes the interaction of art with scientific, literary, historic and philosophical innovations of the eighteenth century. Content includes painting, sculpture and architecture of Northern Europe. No student may earn credit for both 4503 and 5503. (Alt. Sp) [IV-WC] 

."
a_hi-4553,a_hi,4553,Nineteenth-Century Art,3 Credit Hours.,"(Slashlisted with 5553) Prerequisite: junior standing. European art from the French Revolution to 1900, with particular emphasis on developments in French painting. Brief consideration of parallel trends in American art. No student may earn credit for both 4553 and 5553. (Irreg.) [IV-WC]."
a_hi-4613,a_hi,4613,Readings in Twentieth Century Art,3 Credit Hours.,"(Slashlisted withA HI 5613) Prerequisite: junior standing. Explores the cultural/intellectual context of the Fauves, German Expressionists, Cubists, Constructivists, Futurists, Dadas, Surrealists, etc., through artists' and critics' writings and manifestos as well as other arts such as poetry, drama and dance. Readings, presentations, and critical writings will be assigned. No student may earn credit for both 4613 and 5613. (Irreg.) [IV-WC]."
a_hi-4633,a_hi,4633,Modern Art: Cezanne to 1950,3 Credit Hours.,"(Slashlisted with 5633) Prerequisite: junior standing. European art from Post-Impressionism to 1950, including some American developments. Emphasis on painting and sculpture, with some consideration of architecture. No student may earn credit for both 4633 and 5633. (Irreg.) [IV-WC] 
."
a_hi-4643,a_hi,4643,Art After Modernism,3 Credit Hours.,(Slashlisted withA HI 5643) Prerequisite: Junior standing. Examines the transition from modern to contemporary art in Europe and the United States between 1950 and 1989. No student may earn credit for both 4643 and 5643. (Irreg.)
a_hi-4653,a_hi,4653,Art Since World War II,3 Credit Hours.,"(Slashlisted withA HI 5653) Prerequisite: junior standing. Recent developments in art, both in the United States and abroad. No student may earn credit for both 4653 and 5653. (Irreg.) [IV-WC]."
a_hi-4693,a_hi,4693,World Modernisms,3 Credit Hours.,(Slashlisted withA HI 5693) Prerequisite: junior standing. Examines modernisms of the world between 1950 and 1989 with a strong emphasis on traditions outside the West. No student may earn credit for both 4693 and 5693. (Irreg.)
a_hi-4723,a_hi,4723,Cinema of the American West: Then and Now,3 Credit Hours.,"(Slashlisted withA HI 5723) Prerequisite: junior standing. Provides a critical overview of cinema of the American West from the 1930s to present day. Through screenings and course readings, examines the underlying components of Western films, including issues of race, class, ethnicity, gender, sexuality and ideology. Also explores the influence of painting and photography on cinema, as filmmakers both reinforced and reshaped popular imaginings of the American West. No student may earn credit for both 4723 and 5723. (Irreg.)"
a_hi-4743,a_hi,4743,"The American West in Art, Photography and Popular Culture",3 Credit Hours.,"(Slashlisted with 5743) Prerequisite: junior standing or permission of instructor. Focuses on the study of the Trans-Mississippi West, as seen through the eyes of artists and photographers from the early 19th century until today. A variety of media will be discussed, including paintings, prints, photography, and sculpture. The purpose of the course will be primarily to study Euro-American artistic conventions/tradition and how they have been employed in defining western history, culture, and native peoples as fact, fiction, and myth. No student may earn credit for both 4743 and 5743. (Irreg.) [IV-AF]."
a_hi-4753,a_hi,4753,The American West in Photography,3 Credit Hours.,"(Slashlisted with 5753) Prerequisite: Junior standing or permission of the instructor.  This course focuses on the study of the trans-Mississippi west as seen through the eyes of photographers from the early 19th century up to the present.  The purpose of this course will primarily be to study Euro-American photographic conventions, traditions, and styles and how they have been employed in defining American western history, culture and native peoples as fact, artistic motif and myth.  No student may earn credit for both 4753 and 5753. (Irreg.) [IV-WC]
."
a_hi-4823,a_hi,4823,20th Century American Indian Art History,3 Credit Hours.,"(Slashlisted with 5823) Prerequisite: junior standing. Examination and study of the arts of North American Indians. Included in the survey will be the examination of new materials, styles, and the shifts of gender roles in the creative arts. No student may earn credit for both 4823 and 5823. (F) [IV-NW] 
."
a_hi-4843,a_hi,4843,20th Century Hispanic and Latin American Art History,3 Credit Hours.,"(Slashlisted with 5843) Prerequisite: junior standing. Visual arts of Mexico, Central and South America. Interdisciplinary methodology includes painting, sculpture, photography, video, installations, pottery, and weaving. No student may earn credit for both 4843 and 5843. (F) [IV-WC]."
a_hi-4853,a_hi,4853,American Indian Women Artists,3 Credit Hours.,"(Slashlisted with 5853) Prerequisite: Junior standing or permission of the instructor.  Investigates the arts of indigenous women throughout the Americas. Students will participate in research, discussion of selected readings, written assignments and individual presentations concerning the non-western aesthetics and ideals that are found in arts of Indian women from the 20th century forward.  No student may earn credit for both 4853 and 5853. (Irreg.) [IV-NW]."
a_hi-4913,a_hi,4913,Seminar,3 Credit Hours.,(Slashlisted with 5913) Prerequisite: permission of instructor. May be repeated with change of content; maximum credit 12 hours. Advanced topics in art history. No student may earn credit for both 4913 and 5913. (Irreg.)
a_hi-4930,a_hi,4930,Internship,1-6 Credit Hours.,1 to 6 hours. Prerequisite: permission of instructor; majors only. May be repeated; maximum credit 6 hours. Students arrange and participate in a professional work experience with an approved internship site. (Irreg.)
a_hi-4933,a_hi,4933,Process and Theory Workshop,3 Credit Hours.,"(Slashlisted withA HI 5933; Crosslisted withARTC 4933) Prerequisite: Junior standing or permission of instructor; majors only. May be repeated with change of subject; maximum credit 6 hours. The course will offer a deeper grounding in relevant theoretical issues, as students explore together the interdisciplinary landscapes of contemporary theory and assess their relevance for artistic practice and art historical research. No student may earn credit for both 4933 and 5933. (Irreg.)"
a_hi-4943,a_hi,4943,Fieldwork for Art History,3 Credit Hours.,"(Slashlisted withA HI 5943) Prerequisite: Junior standing and permission of instructor. Students will be introduced to the idea that strategies art historians have developed to interpret art can be applied to the full range of traces left by human beings in the natural world. This course stretches the disciple of art history in experimental ways, challenging the centrality of art, understood as the sort of object that belongs in a museum. No student may earn credit for both 4943 and 5943. (Irreg.)"
a_hi-4953,a_hi,4953,Museum Studies,3 Credit Hours.,"(Slashlisted with 5953) Prerequisite: junior standing. Analysis of problems in collecting, authenticating, exhibiting and conserving works of art. Attention is also given to museum architecture and administration, as well as to the cultural and educational role of the museum in the community. Field trips, projects and papers are required. No student may earn credit for both 4953 and 5953. (Irreg.)"
a_hi-4960,a_hi,4960,Directed Readings,2-6 Credit Hours.,Prerequisite: six hours of upper-division art history and permission of instructor. May be repeated; maximum credit six hours. Research culminating in the preparation of papers using technical and critical literature in the history of art. (Irreg.)
a_hi-4963,a_hi,4963,Museum Studies Seminar,3 Credit Hours.,"Prerequisite: junior standing. Intended to provide an introduction to the museum profession and particularly to art museums. The class will consist of lectures/discussion and field trips to art museums (as well as other kinds) in Norman, Oklahoma City, Tulsa and Fort Worth. No student may earn credit for both 4963 and 5963. (Irreg.)"
a_hi-4970,a_hi,4970,Special Topics/Seminar,1-3 Credit Hours.,1 to 3 hours. Prerequisite: Senior standing or permission of instructor. May be repeated; maximum credit nine hours. Special topics or seminar course for content not currently offered in regularly scheduled courses. May include library and/or laboratory research and field projects. (Irreg.)
a_hi-4990,a_hi,4990,Independent Study,1-3 Credit Hours.,1 to 3 hours. Prerequisite: senior standing and permission of instructor. May be repeated; maximum credit six hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.)
a_hi-4993,a_hi,4993,Senior Capstone Experience,3 Credit Hours.,"Prerequisite: senior classification. May not be repeated for credit. Primary objective is to provide a culminating experience for the senior-year student. Satisfies the University-wide General Education Requirement for a capstone course for art history majors. (F, Sp) [V]."
a_hi-5123,a_hi,5123,Minoan Art and Architecture,3 Credit Hours.,(Slashlisted with 4123) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Examination and interpretation of Minoan palatial architecture and related art production on the island of Crete. No student may earn credit for both 4123 and 5123. (Irreg.)
a_hi-5143,a_hi,5143,Mycenaean Art and Architecture,3 Credit Hours.,(Slashlisted with 4143) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Art of mainland Greece with particular attention to Mycenaean settlements and funeral practices. No student may earn credit for both 4143 and 5143. (Irreg.)
a_hi-5163,a_hi,5163,Etruscan Art,3 Credit Hours.,"(Slashlisted with 4163) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Examine and interpret selected works of Etruscan art in reference to the possible influences from the social, political, economic, literary, and religious ""climate"" of the time. No student may earn credit for both 4163 and 5163. (Irreg.)"
a_hi-5210,a_hi,5210,Graduate Readings,1-6 Credit Hours.,1 to 6 hours. Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. May be repeated with change of subject; maximum credit nine hours. Selected readings in art history. (Irreg.)
a_hi-5213,a_hi,5213,Ancient Portraits,3 Credit Hours.,Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor.  This course examines works from different western and non-western ancient cultures to establish a working definition of the art of portraiture. (Irreg.)
a_hi-5220,a_hi,5220,Graduate Projects,1-6 Credit Hours.,1 to 6 hours. Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. May be repeated with change of subject; maximum credit nine hours. Individual problems on selected topics. (Irreg.)
a_hi-5233,a_hi,5233,Medieval Art I: Early Christian to C 1100,3 Credit Hours.,"(Slashlisted with 4233) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. A study of Western art and architecture from the early Christian period (fourth century) through the Early Romanesque period (about 1100). Studies of Byzantine, Migratory, Insular, Hispano-Islamic, Carolingian and Ottonian art included. No student may earn credit for both 4233 and 5233. (Irreg.)"
a_hi-5273,a_hi,5273,Byzantine Icons,3 Credit Hours.,"(Slashlisted with 4273) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Byzantine images occupy a principal position at the heart of the Eastern Church and they are an organic part of daily services. The icon represents a vision of the invisible, and therefore a vision founded on divine knowledge which transforms the created work into the miracle working image. This class will examine the challenging process of producing holiness and divinity through painting panels. No student may earn credit for both 4273 and 5273. (Irreg.)"
a_hi-5343,a_hi,5343,Italian Decorative Complexes,3 Credit Hours.,"Prerequisite: graduate standing in the School of Art & Art History. Designed for art history and non-art history majors studying abroad in Italy. Explores the history of sculpture, architecture and painting produced in Italy with particular emphasis on the renaissance in Tuscany between c. 1250 to 1534. No student may earn credit for both 4343 and 5343. (Irreg.)"
a_hi-5373,a_hi,5373,The Italian City: Renaissance and Baroque Architecture,3 Credit Hours.,(Slashlisted with 4373) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Architecture and urban planning of Italy from about 1300-1700. Emphasis on the growth of the city and how new forms of social interaction affected the development of architecture and the urban setting. No student may earn credit for both 4373 and 5373. (Irreg.)
a_hi-5463,a_hi,5463,Issues in Northern Baroque Art,3 Credit Hours.,"(Slashlisted withA HI 4463) Prerequisite: Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Looks at northern Baroque art as a case study for the examination of a variety of art historical problems such as attribution, function, interpretation, and symbolism. No student may earn credit for both 4463 and 5463. (Irreg.)"
a_hi-5503,a_hi,5503,Art of the 18th Century: The Age of Enlightenment,3 Credit Hours.,"(Slashlisted with 4503) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Emphasizes the interaction of art with scientific, literary, historic and philosophical innovations of the eighteenth century. Content includes painting, sculpture and architecture of Northern Europe. No student may earn credit for both 4503 and 5503. (Irreg.)"
a_hi-5553,a_hi,5553,Nineteenth-Century Art,3 Credit Hours.,"(Slashlisted with 4553) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. European art from the French Revolution to 1900, with particular emphasis on developments in French painting. Brief consideration of parallel trends in American art. No student may earn credit for both 4553 and 5553. (Irreg.)"
a_hi-5613,a_hi,5613,Readings in Twentieth-Century Art,3 Credit Hours.,"(Slashlisted withA HI 4613) Prerequisite: permission of instructor. Explores the cultural/intellectual context of the Fauves, German Expressionists, Cubists, Constructivists, Futurists, Dadas, Surrealists, Etc., through artists' and critics' writings and manifestoes as well as other arts such as poetry, drama and dance. Readings, presentations, and critical writings will be assigned. No student may earn credit for both 4613 and 5613. (Irreg.)"
a_hi-5633,a_hi,5633,Modern Art: Cezanne to 1950,3 Credit Hours.,"(Slashlisted with 4633) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. European art from Postimpressionism to 1950, including some American developments. Emphasis on painting and sculpture, with some consideration of architecture. No student may earn credit for both 4633 and 5633. (Irreg.)"
a_hi-5643,a_hi,5643,Art After Modernism,3 Credit Hours.,(Slashlisted withA HI 4643) Prerequisites: graduate standing; permission of instructor. Examines the transition from modern to contemporary art in Europe and the United States between 1950 and 1989. No student may earn credit for both 4643 and 5643. (Irreg.)
a_hi-5653,a_hi,5653,Art Since World War II,3 Credit Hours.,"(Slashlisted withA HI 4653) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Recent developments in art, both in the United States and abroad. No student may earn credit for both 4653 and 5653. (Irreg.)"
a_hi-5693,a_hi,5693,World Modernisms,3 Credit Hours.,(Slashlisted withA HI 4693) Prerequisites: graduate standing; permission of instructor. Examines modernisms of the world between 1960 and 1989 with a strong emphasis on traditions outside the West. No student may earn credit for both 4693 and 5693. (Irreg.)
a_hi-5723,a_hi,5723,Cinema of the American West: Then and Now,3 Credit Hours.,"(Slashlisted withA HI 4723) Prerequisite: graduate standing; majors only or permission of instructor. Provides a critical overview of cinema of the American West from the 1930s to present day.  Through screenings and course readings, examines the underlying components of Western films, including issues of race, class, ethnicity, gender, sexuality, and ideology.  Also explores the influence of painting and photography on cinema, as filmmakers both reinforced and reshaped popular imaginings of the American West. No student may earn credit for both 4723 and 5723. (Irreg.)"
a_hi-5743,a_hi,5743,"The American West in Art, Photography, and Popular Culture",3 Credit Hours.,"(Slashlisted with 4743) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Focuses on the study of the Trans-Mississippi West, as seen through the eyes of artists and photographers from the early 19th century until today. A variety of media will be discussed, including paintings, prints, photography, and sculpture. The purpose of the course will be primarily to study Euro-American artistic conventions/tradition and how they have been employed in defining western history, culture, and native peoples as fact, fiction, and myth. No student may earn credit for both 4743 and 5743. (Irreg.)"
a_hi-5753,a_hi,5753,The American West in Photography,3 Credit Hours.,"(Slashlisted with 4753) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. This course focuses on the study of the trans-Mississippi west as seen through the eyes of photographers from the early 19th century up to the present.  The purpose of this course will primarily be to study Euro-American photographic conventions, traditions, and styles and how they have been employed in defining American western history, culture and native peoples as fact, artistic motif and myth.  No student may earn credit for both 4753 and 5753. (Irreg.)"
a_hi-5763,a_hi,5763,The American West in Myth and Memory,3 Credit Hours.,"Prerequisite: graduate standing; majors only or permission of instructor. An interdisciplinary graduate seminar that critically addresses the mythologies of the American West, and the ways they are remembered and expressed over generations. Spanning topics such as colonization, the nuclear west, and terrorism, the course explores  the schism between individual memories and public accounts of collective trauma, and the resulting debates over how to remember. Thematically examines expressions of memory through films, memorials, museum exhibits, and other forms of visual culture. (Irreg.)"
a_hi-5823,a_hi,5823,20th Century American Indian Art History,3 Credit Hours.,"(Slashlisted with 4823) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Examination and study of the arts of North American Indians. Included in the survey will be the examination of new materials, styles, and the shifts of gender roles in the creative arts. No student may earn credit for both 4823 and 5823. (Irreg.)"
a_hi-5843,a_hi,5843,20th Century Hispanic and Latin American Art History,3 Credit Hours.,"(Slashlisted with 4843) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Visual arts of Mexico, Central and South America. Interdisciplinary methodology includes painting, sculpture, photography, video installations, pottery, and weaving. No student may earn credit for both 4843 and 5843. (Irreg.)"
a_hi-5853,a_hi,5853,American Indian Women Artists,3 Credit Hours.,"(Slashlisted with 4853) Prerequisite: graduate standing in the School of Art and Art History or permission of the instructor. Investigates the arts of indigenous women throughout the Americas. Students will participate in research, discussion of selected readings, written assignments and individual presentations concerning the non-western aesthetics and ideals that are found in arts of Indian women from the 20th century forward. No student may earn credit for both 4853 and 5853. (Irreg.)"
a_hi-5903,a_hi,5903,Methodologies and Theories in Art History,3 Credit Hours.,"Prerequisite: graduate standing in art history or senior standing with permission of instructor. A study of various scholarly approaches to the history of art, as well as the theories which inform these approaches. Preparation of bibliographies; short presentations and papers. (Irreg.)"
a_hi-5911,a_hi,5911,Teaching of Art History,1 Credit Hour.,"Prerequisites: graduate standing; permission of instructor. Introduction to pedagogy for art history graduate students. It is required for Graduate Teaching Assistants with teaching assignments, and they should normally take it in the first semester of their appointment. The course focuses on principles and practices of good teaching and uses hands-on methods to encourage students to gain confidence and share ideas. Through a series of practical assignments students will increase their competency in creating and evaluating assignments, developing syllabi, and leading discussion sections. (Irreg.)"
a_hi-5912,a_hi,5912,Professional Writing for Art Historians,2 Credit Hours.,Prerequisites: graduate standing; permission of instructor. This course is intended for graduate students pursuing an art history degree at the M.A. or Ph.D. level. It aims to teach professional writing skills necessary for a career in academia or the art world with a focus on proposals for conferences and grants. (Irreg.)
a_hi-5913,a_hi,5913,Seminar,3 Credit Hours.,(Slashlisted with 4913) Prerequisite: permission of instructor. May be repeated with change of content; maximum credit twelve hours. Advanced topics in art history. No student may earn credit for both 4913 and 5913. (Irreg.)
a_hi-5930,a_hi,5930,Graduate Internship,1-6 Credit Hours.,"Prerequisite: graduate standing; permission of instructor. Variable credit: 1-6 hours. May be repeated; maximum credit 6 credit hours. An Internship is a planned work experience related to a student's personal career and academic goals. It can help a student learn about a career, apply knowledge gained in the classroom, develop skills, and enrich the student's understanding of a variety of art organizations. The primary purpose of an internship is to help relate academic experiences with those in the workplace. (Irreg.)"
a_hi-5933,a_hi,5933,Process and Theory Workshop,3 Credit Hours.,"(Slashlisted withA HI 4933; Crosslisted withARTC 5933) Prerequisite: Graduate standing and permission of instructor. May be repeated with change of subject; maximum credit 6 hours. The course will offer a deeper grounding in relevant theoretical issues, as students explore together the interdisciplinary landscapes of contemporary theory and assess their relevance for artistic practice and art historical research. No student may earn credit for both 4933 and 5933. (Irreg.)"
